,index,vehicle_id,p_start,p_temp,p_end,pre_routes,freq,label,regions
0,0,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.738, 10.8012)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'thảo_điền')",121,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
1,16,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'cầu_sài_gòn_1')",305,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
2,21,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'điện_biên_phủ')",522,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
3,40,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.695, 10.7912)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'võ_thị_sáu')",250,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_đa_kao_quận_1')"
4,50,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.68799999999999, 10.7858)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'nam_kỳ_khởi_nghĩa')",127,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_3')"
5,59,100000025,"(106.74, 10.8014)","(106.73899999999999, 10.8012)","(106.681, 10.7926)","('xa_lộ_hà_nội', 'xa_lộ_hà_nội', 'nguyễn_văn_trỗi')",299,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_8_quận_phú_nhuận')"
6,102,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.736, 10.8026)","('xa_lộ_hà_nội', 'thảo_điền', 'nguyễn_duy_hiệu')",496,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
7,106,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.734, 10.8034)","('xa_lộ_hà_nội', 'thảo_điền', 'số_39')",185,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
8,107,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73200000000001, 10.8028)","('xa_lộ_hà_nội', 'thảo_điền', 'quốc_hương')",253,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
9,112,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73200000000001, 10.8)","('xa_lộ_hà_nội', 'thảo_điền', 'empty')",276,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2')"
10,113,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.73100000000001, 10.7996)","('xa_lộ_hà_nội', 'thảo_điền', 'cầu_sài_gòn_1')",437,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
11,118,100000025,"(106.74, 10.8014)","(106.738, 10.8012)","(106.721, 10.7981)","('xa_lộ_hà_nội', 'thảo_điền', 'điện_biên_phủ')",573,False,"('phường_thảo_điền_quận_2', 'phường_thảo_điền_quận_2', 'phường_25_quận_bình_thạnh')"
